tau,paired,seed,zz_on_fano,zz_on_mean,zz_off_fano,zz_off_mean
1,1,1,0.5389697138245616,1.3033333333333332,0.5427262973194854,1.3413333333333333
1,1,2,0.5591594825274727,1.244,0.5588794733679201,1.2906666666666666
1,1,3,0.5606176475373827,1.23,0.5536430846314687,1.2806666666666666
1,1,4,0.5789445215729405,1.2333333333333334,0.5648545571261344,1.272
1,1,5,0.5698847463153356,1.244,0.5567070184673975,1.3086666666666666
1,0,1,0.82499444073827,0.6,0.7685497702538768,0.606
1,0,2,0.8611538126867188,0.6133333333333333,0.8201330361720249,0.622
1,0,3,0.8796550955706507,0.6246666666666667,0.8357824135008924,0.6166666666666667
1,0,4,0.8589491694849604,0.6326666666666667,0.8191269143663731,0.6213333333333333
1,0,5,0.8592077928756446,0.6313333333333333,0.8162010919901294,0.618
3,1,1,0.5244136514358566,4.115333333333333,0.5400874155801783,4.060666666666667
3,1,2,0.5470719987167182,4.1033333333333335,0.556356108598073,4.085333333333334
3,1,3,0.5614280846132584,4.006666666666667,0.5773712506793052,3.9846666666666666
3,1,4,0.5546793100162013,4.032,0.5402833983560301,3.9993333333333334
3,1,5,0.5473034004903855,4.052666666666667,0.5635578335375339,4.038666666666667
3,0,1,0.6472863442062421,3.0613333333333332,0.5999758932410187,3.195333333333333
3,0,2,0.7012844449180562,3.046666666666667,0.6533513366823396,3.2186666666666666
3,0,3,0.7067318235224866,3.082666666666667,0.6380129303825298,3.1726666666666667
3,0,4,0.6552205286985217,3.0566666666666666,0.6016309459422361,3.191333333333333
3,0,5,0.6588867135221914,3.1486666666666667,0.6054913802183911,3.23
5,1,1,0.4932858435051386,7.238,0.48689077900757316,7.338
5,1,2,0.5154979653499777,7.268666666666666,0.49421350199256364,7.327333333333334
5,1,3,0.5143065516484921,7.122,0.5021456002062572,7.255333333333334
5,1,4,0.540542474558462,7.128666666666667,0.4912851492550794,7.263333333333334
5,1,5,0.522355796760377,7.172666666666666,0.4910528641624121,7.275333333333333
5,0,1,0.647924586784009,5.719333333333333,0.6104848321550889,5.858
5,0,2,0.6709867113582124,5.726666666666667,0.6219093745606189,5.946666666666666
5,0,3,0.6122635678687752,5.802666666666667,0.5874309693572286,5.896
5,0,4,0.621114469013068,5.772,0.5559103608826527,5.925333333333334
5,0,5,0.6247413359717039,5.757333333333333,0.589758432645709,5.846666666666667
7,1,1,0.48409009897982025,10.393333333333333,0.4820972766269631,10.53
7,1,2,0.5219921034066675,10.412666666666667,0.5170155778669849,10.496666666666666
7,1,3,0.505607737452944,10.269333333333334,0.48768386241233996,10.496
7,1,4,0.5731245515766059,10.260666666666667,0.4944167359951409,10.447333333333333
7,1,5,0.5036705724102658,10.359333333333334,0.46181975492981003,10.432666666666666
7,0,1,0.6464082598888273,8.466,0.6055260265768835,8.31
7,0,2,0.6575840922824933,8.411333333333333,0.6409034594491565,8.4
7,0,3,0.6385238331533136,8.567333333333334,0.6290970866107243,8.468
7,0,4,0.6282507986216196,8.524666666666667,0.5917559475200053,8.411333333333333
7,0,5,0.6260290132419095,8.560666666666666,0.6349542640009725,8.318666666666667
