tau,paired,seed,fano,detection,mean_weight,depth
1,1,1,0.5007499084110566,0.8289794921875,1.4884033203125,25
1,1,2,0.5200287578507576,0.8192138671875,1.4765625,25
1,1,3,0.5244469384002219,0.8162841796875,1.464111328125,25
1,1,4,0.5159204300116375,0.8206787109375,1.4876708984375,25
1,1,5,0.5192844091810597,0.82373046875,1.4932861328125,25
1,1,6,0.5139244434335384,0.822265625,1.481689453125,25
1,1,7,0.5035319078973466,0.8272705078125,1.491455078125,25
1,1,8,0.5268425966651197,0.8157958984375,1.4713134765625,25
1,1,9,0.5233727907938259,0.8187255859375,1.47021484375,25
1,1,10,0.5059085407528954,0.8255615234375,1.4876708984375,25
1,0,1,0.4841095930646104,0.837158203125,1.5069580078125,25
1,0,2,0.5026602659416965,0.828369140625,1.49560546875,25
1,0,3,0.5085251783078362,0.824462890625,1.4815673828125,25
1,0,4,0.4982475668210838,0.82958984375,1.5068359375,25
1,0,5,0.5035631622732907,0.831298828125,1.50927734375,25
1,0,6,0.4955864119135309,0.8316650390625,1.500732421875,25
1,0,7,0.49022707948997857,0.8341064453125,1.506591796875,25
1,0,8,0.5102647252637585,0.824462890625,1.4884033203125,25
1,0,9,0.5092198999342337,0.8260498046875,1.486572265625,25
1,0,10,0.49282361826320986,0.8321533203125,1.501708984375,25
2,1,1,0.7691267737919415,0.9022216796875,2.9794921875,48
2,1,2,0.7691267737919415,0.9022216796875,2.9794921875,48
2,1,3,0.7691267737919415,0.9022216796875,2.9794921875,48
2,1,4,0.7689032101309622,0.9022216796875,2.979736328125,48
2,1,5,0.7686907586592727,0.9022216796875,2.9801025390625,48
2,1,6,0.7687018633132248,0.9022216796875,2.980224609375,48
2,1,7,0.7685823392581246,0.9022216796875,2.980712890625,48
2,1,8,0.7683697568390555,0.9022216796875,2.9810791015625,48
2,1,9,0.7683697568390555,0.9022216796875,2.9810791015625,48
2,1,10,0.7683099142717648,0.9022216796875,2.9813232421875,48
2,0,1,0.7480046128491635,0.9058837890625,3.0032958984375,48
2,0,2,0.7480046128491635,0.9058837890625,3.0032958984375,48
2,0,3,0.7480046128491635,0.9058837890625,3.0032958984375,48
2,0,4,0.7477806676709194,0.9058837890625,3.0035400390625,48
2,0,5,0.7475666701963952,0.9058837890625,3.00390625,48
2,0,6,0.7475766104571134,0.9058837890625,3.0040283203125,48
2,0,7,0.7474537286344115,0.9058837890625,3.0045166015625,48
2,0,8,0.7472396024918081,0.9058837890625,3.0048828125,48
2,0,9,0.7472396024918081,0.9058837890625,3.0048828125,48
2,0,10,0.7471780824178653,0.9058837890625,3.005126953125,48
3,1,1,1.0141464320177676,0.93994140625,4.45556640625,71
3,1,2,1.0141464320177676,0.93994140625,4.45556640625,71
3,1,3,1.0143909900328272,0.9398193359375,4.4554443359375,71
3,1,4,1.0139901951364814,0.9398193359375,4.4560546875,71
3,1,5,1.0135599394734487,0.9398193359375,4.45654296875,71
3,1,6,1.0135893428210936,0.9398193359375,4.4566650390625,71
3,1,7,1.0130280531604685,0.93994140625,4.45751953125,71
3,1,8,1.0123825536516586,0.9400634765625,4.458251953125,71
3,1,9,1.0123062298305572,0.9400634765625,4.4586181640625,71
3,1,10,1.012229858385963,0.9400634765625,4.458984375,71
3,0,1,0.9801352721184377,0.9434814453125,4.4892578125,71
3,0,2,0.9801352721184377,0.9434814453125,4.4892578125,71
3,0,3,0.9803789023800475,0.943359375,4.4891357421875,71
3,0,4,0.9799765774302742,0.943359375,4.48974609375,71
3,0,5,0.9795459205296937,0.943359375,4.490234375,71
3,0,6,0.9795741959082219,0.943359375,4.4903564453125,71
3,0,7,0.9790107667798351,0.9434814453125,4.4912109375,71
3,0,8,0.9783646671120232,0.943603515625,4.491943359375,71
3,0,9,0.9782861951405294,0.943603515625,4.4923095703125,71
3,0,10,0.9782076762528836,0.943603515625,4.49267578125,71
4,1,1,1.2558117052400541,0.9637451171875,5.92822265625,94
4,1,2,1.2558117052400541,0.9637451171875,5.92822265625,94
4,1,3,1.2558117052400541,0.9637451171875,5.92822265625,94
4,1,4,1.255298906039858,0.9637451171875,5.92919921875,94
4,1,5,1.2547059686315611,0.9637451171875,5.9300537109375,94
4,1,6,1.2549458999554304,0.9637451171875,5.930419921875,94
4,1,7,1.2547160288642092,0.9637451171875,5.931640625,94
4,1,8,1.253834609096914,0.9638671875,5.9324951171875,94
4,1,9,1.2534494900709907,0.9638671875,5.9332275390625,94
4,1,10,1.2534857034450178,0.9638671875,5.9334716796875,94
4,0,1,1.2134975104009131,0.9659423828125,5.9735107421875,94
4,0,2,1.2134975104009131,0.9659423828125,5.9735107421875,94
4,0,3,1.2134975104009131,0.9659423828125,5.9735107421875,94
4,0,4,1.2129807078544346,0.9659423828125,5.9744873046875,94
4,0,5,1.212385361795608,0.9659423828125,5.975341796875,94
4,0,6,1.2126205168158737,0.9659423828125,5.9757080078125,94
4,0,7,1.2123825306930442,0.9659423828125,5.9769287109375,94
4,0,8,1.2115008910076697,0.966064453125,5.977783203125,94
4,0,9,1.211112777823135,0.966064453125,5.978515625,94
4,0,10,1.2111467465935226,0.966064453125,5.978759765625,94
5,1,1,1.5106989803137882,0.9813232421875,7.417236328125,117
5,1,2,1.5107426782027589,0.9813232421875,7.4173583984375,117
5,1,3,1.5107426782027589,0.9813232421875,7.4173583984375,117
5,1,4,1.5099508129089032,0.9813232421875,7.41845703125,117
5,1,5,1.509115218032585,0.9813232421875,7.41943359375,117
5,1,6,1.509355554920688,0.9813232421875,7.419921875,117
5,1,7,1.5090667253866625,0.9813232421875,7.4215087890625,117
5,1,8,1.507978262607519,0.9814453125,7.422607421875,117
5,1,9,1.507592162417852,0.9814453125,7.4234619140625,117
5,1,10,1.5076452006994585,0.9814453125,7.424072265625,117
5,0,1,1.4603173590179013,0.982421875,7.47265625,117
5,0,2,1.460359745006649,0.982421875,7.4727783203125,117
5,0,3,1.460359745006649,0.982421875,7.4727783203125,117
5,0,4,1.4595648625772835,0.982421875,7.473876953125,117
5,0,5,1.4587275631033765,0.982421875,7.474853515625,117
5,0,6,1.4589621686509704,0.982421875,7.475341796875,117
5,0,7,1.4586626478424582,0.982421875,7.4769287109375,117
5,0,8,1.4575733708030914,0.9825439453125,7.47802734375,117
5,0,9,1.4571832252072376,0.9825439453125,7.4788818359375,117
5,0,10,1.457230938029057,0.9825439453125,7.4794921875,117
