tau,paired,seed,fano,detection,mean_weight
1,1,1,0.9180276368611994,0.14,0.1429
1,0,1,0.9180276368611994,0.14,0.1429
1,1,2,0.922882209396535,0.13935,0.14245
1,0,2,0.922882209396535,0.13935,0.14245
1,1,3,0.9295877603352719,0.13615,0.13935
1,0,3,0.9295877603352719,0.13615,0.13935
1,1,4,0.9135369631552115,0.1418,0.1446
1,0,4,0.9135369631552115,0.1418,0.1446
1,1,5,0.9370008402415219,0.13905,0.14285
1,0,5,0.9370008402415219,0.13905,0.14285
1,1,6,0.9208482896054916,0.1394,0.1424
1,0,6,0.9208482896054916,0.1394,0.1424
1,1,7,0.9241241723103106,0.1385,0.1416
1,0,7,0.9241241723103106,0.1385,0.1416
1,1,8,0.945796122077866,0.1372,0.1413
1,0,8,0.945796122077866,0.1372,0.1413
1,1,9,0.9186794221032,0.14225,0.14535
1,0,9,0.9186794221032,0.14225,0.14535
1,1,10,0.9569191113334226,0.13755,0.14225
1,0,10,0.9569191113334226,0.13755,0.14225
1,1,11,0.94027110681959,0.14065,0.14475
1,0,11,0.94027110681959,0.14065,0.14475
1,1,12,0.9331813454141341,0.1324,0.1355
1,0,12,0.9331813454141341,0.1324,0.1355
1,1,13,0.926548631826018,0.13685,0.13995
1,0,13,0.926548631826018,0.13685,0.13995
1,1,14,0.9387865233876864,0.13915,0.14305
1,0,14,0.9387865233876864,0.13915,0.14305
1,1,15,0.9142256545853515,0.1385,0.1411
1,0,15,0.9142256545853515,0.1385,0.1411
1,1,16,0.9396369060616311,0.14105,0.14515
1,0,16,0.9396369060616311,0.14105,0.14515
1,1,17,0.9369571404007234,0.13655,0.14015
1,0,17,0.9369571404007234,0.13655,0.14015
1,1,18,0.9264323923056861,0.1409,0.1443
1,0,18,0.9264323923056861,0.1409,0.1443
1,1,19,0.9295122059473759,0.13485,0.13795
1,0,19,0.9295122059473759,0.13485,0.13795
1,1,20,0.9298120078417711,0.136,0.1392
1,0,20,0.9298120078417711,0.136,0.1392
1,1,21,0.9257460146725983,0.13465,0.13755
1,0,21,0.9257460146725983,0.13465,0.13755
1,1,22,0.9540540797187022,0.1381,0.1427
1,0,22,0.9540540797187022,0.1381,0.1427
1,1,23,0.9476604939772498,0.13605,0.14015
1,0,23,0.9476604939772498,0.13605,0.14015
1,1,24,0.9074626344118886,0.14055,0.14295
1,0,24,0.9074626344118886,0.14055,0.14295
1,1,25,0.9340525603686044,0.1397,0.1434
1,0,25,0.9340525603686044,0.1397,0.1434
1,1,26,0.9375366217832674,0.13745,0.14115
1,0,26,0.9375366217832674,0.13745,0.14115
1,1,27,0.941880722354702,0.1321,0.1356
1,0,27,0.941880722354702,0.1321,0.1356
1,1,28,0.9298021923271452,0.13865,0.14205
1,0,28,0.9298021923271452,0.13865,0.14205
1,1,29,0.9073031587913095,0.13465,0.13665
1,0,29,0.9073031587913095,0.13465,0.13665
1,1,30,0.939447170842844,0.13495,0.13855
1,0,30,0.939447170842844,0.13495,0.13855
2,1,1,0.3244960041420371,0.885,1.0514
2,0,1,0.9268426538255975,0.25755,0.28265
2,1,2,0.32803282154746766,0.8806,1.0469
2,0,2,0.9171769512845389,0.2607,0.2856
2,1,3,0.32542600608894917,0.88275,1.04445
2,0,3,0.9286506926243173,0.2539,0.27875
2,1,4,0.3258182823283784,0.88145,1.04825
2,0,4,0.9198235322174771,0.2609,0.2863
2,1,5,0.9338199096687023,0.25805,0.2849
2,0,5,0.93566369559482,0.2577,0.28485
2,1,6,0.9242368769854998,0.25875,0.28415
2,0,6,0.9120341204870308,0.2585,0.2822
2,1,7,0.9521252598942799,0.2571,0.2864
2,0,7,0.9462799823282935,0.2533,0.2807
2,1,8,0.944529208442404,0.25125,0.2775
2,0,8,0.9559890033197468,0.2512,0.2791
2,1,9,0.32753195602988133,0.87955,1.0424
2,0,9,0.9336544456016025,0.2573,0.2834
2,1,10,0.32436928709086976,0.8849,1.0477
2,0,10,0.9543201434478056,0.25545,0.28425
2,1,11,0.3270093879015314,0.88335,1.0499
2,0,11,0.9237926685066647,0.25945,0.284
2,1,12,0.32296526541908105,0.8863,1.04775
2,0,12,0.9340933876492631,0.251,0.27585
2,1,13,0.3170792323657318,0.8869,1.0502
2,0,13,0.9245940110282047,0.2567,0.2817
2,1,14,0.3235953871214526,0.8828,1.0446
2,0,14,0.9400434434533115,0.25435,0.281
2,1,15,0.39125606507324706,0.9823,2.5771
2,0,15,0.9148568078473079,0.26325,0.2892
2,1,16,0.3353610107643461,0.8794,1.0465
2,0,16,0.9343952376345931,0.26005,0.28675
2,1,17,0.917061899039957,0.2623,0.2873
2,0,17,0.9316201884364774,0.25705,0.28275
2,1,18,0.33017632315245776,0.88055,1.0449
2,0,18,0.9287314295588551,0.259,0.2852
2,1,19,0.3205909054521073,0.88515,1.0476
2,0,19,0.9379811300294842,0.25685,0.28315
2,1,20,0.9358085241947988,0.2509,0.2757
2,0,20,0.9100397942271544,0.2514,0.27375
2,1,21,0.3181263198983054,0.88555,1.04695
2,0,21,0.934573095877315,0.25355,0.27885
2,1,22,0.3314394747700102,0.8844,1.0514
2,0,22,0.9376349104130128,0.2563,0.28255
2,1,23,0.9433592741743301,0.2517,0.27775
2,0,23,0.9409321053032376,0.2541,0.2811
2,1,24,0.32551097816891217,0.8814,1.0458
2,0,24,0.9151798646060998,0.26105,0.28595
2,1,25,0.9432575152986723,0.2563,0.28375
2,0,25,0.943485894392502,0.25845,0.28635
2,1,26,0.3273791709831887,0.88345,1.0471
2,0,26,0.9439538833271678,0.2541,0.2812
2,1,27,0.3302075561855218,0.8835,1.04895
2,0,27,0.9411041568660984,0.2519,0.2774
2,1,28,0.3235779385494832,0.88395,1.04765
2,0,28,0.9266600787392575,0.2537,0.27845
2,1,29,0.322121322179442,0.88075,1.03765
2,0,29,0.9238767369849644,0.25485,0.27985
2,1,30,0.3261079553067953,0.88245,1.0443
2,0,30,0.927633085636664,0.2488,0.27245
3,1,1,0.27923821175749536,0.9849,1.9596
3,0,1,0.9402484137325531,0.355,0.41925
3,1,2,0.2868836652322715,0.98485,1.96185
3,0,2,0.9192991983520397,0.3617,0.42525
3,1,3,0.28024146949190265,0.98355,1.9492
3,0,3,0.9385783522188128,0.3555,0.42015
3,1,4,0.3982458860747147,0.8993,1.18995
3,0,4,0.9256345170199687,0.3609,0.425
3,1,5,0.3957969134789792,0.90005,1.189
3,0,5,0.918918393216799,0.361,0.42455
3,1,6,0.3918038007163516,0.8996,1.1875
3,0,6,0.9186324189065753,0.3599,0.42275
3,1,7,0.39490984350675185,0.90215,1.1937
3,0,7,0.9470800263337057,0.35635,0.4236
3,1,8,0.396053303502696,0.9046,1.194
3,0,8,0.9478033692060973,0.3538,0.4198
3,1,9,0.2777731479166551,0.983,1.944
3,0,9,0.9416565614171941,0.358,0.42385
3,1,10,0.3983279076654245,0.9007,1.1913
3,0,10,0.9373913304145188,0.35795,0.42335
3,1,11,0.40598992468048345,0.8956,1.18725
3,0,11,0.928391185073228,0.3585,0.4222
3,1,12,0.27834611228368494,0.98475,1.94945
3,0,12,0.9236324260036637,0.3522,0.41165
3,1,13,0.2840923853199422,0.98445,1.9524
3,0,13,0.9147445476009226,0.35865,0.4203
3,1,14,0.2762443898017278,0.98415,1.9547
3,0,14,0.9401406633532432,0.358,0.42365
3,1,15,0.41633184747848717,0.984,2.71805
3,0,15,0.9059123357661815,0.36585,0.4284
3,1,16,0.40037674311250276,0.8989,1.19195
3,0,16,0.9256691228187091,0.36435,0.42985
3,1,17,0.3860706893227649,0.9016,1.18705
3,0,17,0.9356241836381408,0.35905,0.42405
3,1,18,0.4003178762257126,0.8971,1.1871
3,0,18,0.9260937086558308,0.3607,0.42565
3,1,19,0.4048035524937239,0.896,1.1895
3,0,19,0.9369972506168919,0.35855,0.4242
3,1,20,0.9141792608821873,0.3558,0.41555
3,0,20,0.9262742613113187,0.3507,0.4122
3,1,21,0.4004539004968129,0.8969,1.18005
3,0,21,0.9350467523376169,0.35555,0.42
3,1,22,0.3920987845382538,0.8997,1.1921
3,0,22,0.9314026860522828,0.3587,0.42185
3,1,23,0.4173676429921153,0.98395,2.7113
