seed,cell,tau,epsilon,shots,fano_paired,fano_control,detection_paired,mean_weight_paired
1,hex-r1-7n,5,0.1,20000,0.5022570834585101,1.161023373548563,1.0,11.96435
1,sq-3x3-9n,5,0.1,20000,0.42989773672931864,1.4534932019586133,1.0,11.97515
1,hex-r2-19n,5,0.1,20000,0.506708142351072,1.4690567070753977,1.0,41.9588
1,sq-4x4-16n,5,0.1,20000,0.3825356354534485,1.4694612905379059,1.0,24.0092
2,hex-r1-7n,5,0.1,20000,0.5377648983110526,1.4332996250180965,1.0,12.0205
2,sq-3x3-9n,5,0.1,20000,0.4440249064509548,1.1704220362964126,1.0,12.01295
2,hex-r2-19n,5,0.1,20000,0.5047387113692686,1.4107068266944514,1.0,41.9654
2,sq-4x4-16n,5,0.1,20000,0.36557838144002797,1.1995147741588053,1.0,24.06825
3,hex-r1-7n,5,0.1,20000,0.3585730117159217,1.091015944286649,1.0,12.0026
3,sq-3x3-9n,5,0.1,20000,0.35955303198356214,1.186841941003451,1.0,11.9911
3,hex-r2-19n,5,0.1,20000,0.4517804596267732,1.3667111493072754,1.0,42.0476
3,sq-4x4-16n,5,0.1,20000,0.4220283186035702,1.4812295566270817,1.0,23.99515
4,hex-r1-7n,5,0.1,20000,0.35993466339983665,1.0746094370705508,1.0,12.0
4,sq-3x3-9n,5,0.1,20000,0.28456863322780046,1.2542379017414274,1.0,11.99715
4,hex-r2-19n,5,0.1,20000,0.5591172993310543,1.5708105598084177,1.0,42.0024
4,sq-4x4-16n,5,0.1,20000,0.3427199142066361,1.4950018403412093,1.0,24.04875
5,hex-r1-7n,5,0.1,20000,0.5656375948057637,1.7043077907295665,1.0,11.9565
5,sq-3x3-9n,5,0.1,20000,0.31947254353803345,1.4982338323553326,1.0,12.01995
5,hex-r2-19n,5,0.1,20000,0.4813813044844603,1.3795261667703114,1.0,41.96025
5,sq-4x4-16n,5,0.1,20000,0.35094136757232525,1.3843667341732508,1.0,23.9827
6,hex-r1-7n,5,0.1,20000,0.4406890436982879,1.2374558663578514,1.0,11.99965
6,sq-3x3-9n,5,0.1,20000,0.275671534384095,1.4016567011840075,1.0,11.99875
6,hex-r2-19n,5,0.1,20000,0.47063370422612216,1.3956799358476655,1.0,41.97845
6,sq-4x4-16n,5,0.1,20000,0.33772986467204275,1.1723410700115082,1.0,23.98815
7,hex-r1-7n,5,0.1,20000,0.4320389116616182,1.2465076107359485,1.0,12.02085
7,sq-3x3-9n,5,0.1,20000,0.35954693054854914,1.4494229219150545,1.0,11.99945
7,hex-r2-19n,5,0.1,20000,0.3723980895225793,1.2510553057098153,1.0,41.9773
7,sq-4x4-16n,5,0.1,20000,0.3470216022525158,1.3337794000922365,1.0,23.99985
8,hex-r1-7n,5,0.1,20000,0.6507891511797061,1.4566044266736617,1.0,11.96965
8,sq-3x3-9n,5,0.1,20000,0.4889527093188752,1.4665526049947555,1.0,12.02025
8,hex-r2-19n,5,0.1,20000,0.48193710509706217,1.5010953330564063,1.0,42.02355
