trial,perturbation,P_at_n12,P_at_n13,P_at_n27,P_at_n37,P_at_n39,ZZ_at_n12
13,shuffle,0.589959957646291,0.5571597051762556,0.6423943812650218,0.960378595784372,0.9723957743962495,0.2827319520382964
13,random,0.446474799235271,0.38403292798397015,0.659608805676462,0.7064218477863033,0.7802508546377648,0.09943707016558967
13,small,0.645610144726877,0.6503683540355336,0.675109910520704,0.9113370964149061,0.9079618436462575,0.3669462135548186
14,shuffle,0.8270652147533532,0.8396494041621096,0.9665284518978009,0.887004685806771,0.8580514256880533,0.6599207112883034
14,random,0.8302467760947843,0.8217397098237459,0.5344993210460715,0.6646911395218695,0.5155903454459256,0.6738308478456538
14,small,0.6898239748503,0.6993093742464522,0.7124274132338125,0.9184663590715664,0.8757615569766813,0.4362400210983054
15,shuffle,0.7546305613927611,0.750803182142075,0.9189422806828006,0.8009724973166162,0.7690268565238495,0.5099427136261394
15,random,0.5822585562964856,0.6143186021036187,0.5228380272997487,0.7955317219962149,0.8315414064771035,0.27561644735969804
15,small,0.700411863335449,0.696333641744614,0.6338700837853375,0.8881398909537742,0.9344371632971507,0.45401960939884894
16,shuffle,0.6456283454933383,0.6080164871090288,0.5702129825328911,0.7969173244313486,0.9454548422198643,0.3626897529940343
16,random,0.9042740182338639,0.855066109708826,0.45024702891606694,0.3571106931120043,0.24767579729248276,0.8129554141490899
16,small,0.6767486384764012,0.6630127683153542,0.5927925878684086,0.8467495372200143,0.9325543568912055,0.41620716841726285
17,shuffle,0.7910950783641262,0.7664931805879422,0.9477220422715784,0.9241622485904674,0.7682271299603979,0.5902042674414472
17,random,0.8053751371151856,0.8943659571956989,0.7627594209922839,0.9645787838369778,0.8010085103010002,0.6313402210769964
17,small,0.6640452520780211,0.6432856436465566,0.5546739146063817,0.8435372788572998,0.9057731481379369,0.39659805926345976
18,shuffle,0.6274792753753469,0.6102401176410184,0.69627276244033,0.8981647404675638,0.9048768361963339,0.3412435551281703
18,random,0.8319454673294485,0.799134884677873,0.605993602814581,0.2944730997313124,0.3853612882867244,0.6754078525844431
18,small,0.6880365619178599,0.7004351112258672,0.7442756019668791,0.87956823495996,0.8288181952566359,0.4311344946802609
19,shuffle,0.48120422555362014,0.44491505675653625,0.4605100770512038,0.8140073134626638,0.8964070923194641,0.13449899519190245
19,random,0.8221357138311192,0.7561660075015715,0.3489525350032684,0.30247430405541537,0.18492096791058388,0.6608429048490732
19,small,0.70115480375171,0.6868775970292075,0.5448582263465268,0.749965882562211,0.8486844554504039,0.4552174354303056
20,shuffle,0.8290584768889988,0.8418023578605844,0.8730369049113827,0.71583055159334,0.7338633727938364,0.6605787592444368
20,random,0.6798713571597896,0.5753758785803281,0.4761163674017425,0.35435300303853956,0.1583439611471612,0.38383787590713536
20,small,0.6507134012681708,0.6518014951411595,0.696127581880044,0.9037140128292523,0.8496884858008025,0.37381206779313914
21,shuffle,0.8077363904606267,0.7755941910243066,0.9028320826622777,0.9026979339663845,0.8202170801438633,0.6193314794571422
21,random,0.8787562146587057,0.8660996694537317,0.9548647611795764,0.9911708391256764,0.9692890032954297,0.7580187991021649
21,small,0.6361030095542054,0.6160192276263697,0.4777121996059502,0.6949631872275402,0.8717941074072597,0.34975615076573724
22,shuffle,0.759650367657314,0.7760102220497124,0.8657066182907317,0.6620404271082928,0.6688614901218868,0.5304171767961564
22,random,0.7332336794898455,0.7382139871559517,0.6212806669030586,0.7302329055921233,0.6694294649193611,0.4665498878652828
22,small,0.6692589553954736,0.6702132294142679,0.605918716179121,0.7847793310046941,0.9397368628806756,0.400169920778838
23,shuffle,0.6255618392128659,0.5851946786223079,0.7320787657470798,0.9190691307613804,0.6453816442159807,0.3109385034700076
23,random,0.9464120046078212,0.9483518159670782,0.8764539398146379,0.921563183974573,0.7622924682915054,0.893714020225945
23,small,0.6843266167994485,0.6748184122409625,0.49572460945048863,0.6947051568202157,0.826414846624162,0.427485389878422
24,shuffle,0.4543987275311739,0.40929523747891744,0.20375738956097902,0.1965447590462172,0.5577856174930841,0.07160813305764119
24,random,0.6450152328374885,0.6762829510387496,0.6953100898174462,0.7593271012554723,0.7528798952719249,0.3649024352041353
24,small,0.7285923970811984,0.7186876034377685,0.7917607977769016,0.8778108997234368,0.8338996125652535,0.49328783952523825
25,shuffle,0.42156730484916494,0.37664442688041105,0.06872223761809856,0.055769666509618815,0.2809060412080003,0.05325665563502291
25,random,0.7672842338663755,0.755317707647108,0.5733266982267301,0.6747327891100364,0.6103430189913481,0.5453859536355742
25,small,0.6988247509139153,0.6839793763261781,0.5564083666017743,0.7232687417986627,0.7827888178472744,0.4506360440670928
26,shuffle,0.7235769579557604,0.6675260104924384,0.9546437010405108,0.8040684898856626,0.6612315234942889,0.4513327634471609
26,random,0.6595411801856927,0.6894186600873685,0.8292824176722728,0.6244487901171158,0.654362379815642,0.3538847550215566
26,small,0.7306312107719934,0.7445102596194589,0.8116378350608678,0.842852462783131,0.7960408008631471,0.49923494997633655
27,shuffle,0.6903929207407398,0.6889601151975808,0.5868530221653974,0.8954884708118042,0.924364859700595,0.4375753466639592
27,random,0.6932669683104269,0.6786524492261385,0.7903729919690675,0.6844925165664323,0.5815596701090113,0.41662742744291875
27,small,0.6820124362145954,0.6780850477823509,0.6405238509954658,0.914420939202093,0.945680170461914,0.4246633568809487
28,shuffle,0.7746041062434701,0.7441347541901333,0.6339220044953829,0.6379342000437502,0.6019558184471877,0.566400441380213
28,random,0.7684408331116536,0.832360333413508,0.5859090840309074,0.9146206582326035,0.6511937660513272,0.5372249688273599
28,small,0.6805018130075019,0.6776152158258708,0.6785698264429342,0.909565657526843,0.8763783581583977,0.4201334410002723
29,shuffle,0.36644019567024083,0.2585010652711691,0.4376467178231751,0.24073514635344692,0.2612585791427936,-0.029363662165352605
29,random,0.6780265233724236,0.7750715959469339,0.7545994114227659,0.7783794952674706,0.7416156903722902,0.37898868202915026
29,small,0.7400529003981146,0.7519115686341196,0.8216866088091226,0.8238582975117771,0.811368752717572,0.512886440535106
30,shuffle,0.8799083073542,0.8735010748169503,0.6889102473887027,0.6941905992387742,0.6358571034280018,0.7605431832190689
30,random,0.7331644078949984,0.766419280714028,0.8495970565508242,0.8249337456371144,0.9602557764457716,0.504036532933396
30,small,0.7500859019887031,0.7546215615308499,0.7863001905758789,0.8678439350466667,0.8504084376760715,0.5329818559862414
31,shuffle,0.8842281872189166,0.8945516892284985,0.7606660732513519,0.8418101665686327,0.8180129480011146,0.7698922122352384
31,random,0.6501234858612941,0.6382346298578326,0.7677114896082231,0.6114173979522264,0.5174922769068103,0.34760956893175515
31,small,0.6555772611090932,0.6576872875998171,0.6361567511747332,0.9092686402811911,0.960909356599348,0.38338787749533865
32,shuffle,0.8164872767496434,0.8167288794889787,0.925352458351459,0.8273022440046318,0.7070364042769327,0.6430971391344622
32,random,0.5520564103338601,0.5163845678186462,0.18072304322397653,0.07699602595284744,0.12894077767005174,0.19933379043107236
32,small,0.6970784588621287,0.690667209616287,0.6927355851286457,0.8695774946489053,0.8697696854168231,0.44557032230132637
33,shuffle,0.5135233589966048,0.42285621206991736,0.7859551382711151,0.6104599963102028,0.5687686109650639,0.1524589439819029
33,random,0.879407203590793,0.9269722663097542,0.7941393047046764,0.8917736790477327,0.7601416713041715,0.7589416687421661
33,small,0.7057119695171721,0.7133005456984898,0.7677795593562263,0.8844638642452312,0.8455281708944742,0.4585657751210567
34,shuffle,0.7889612309579642,0.8238085960489411,0.9388279908508647,0.7822141440533683,0.7753808203643644,0.58523235471628
34,random,0.8621822700302593,0.8571258863693775,0.5710923644539616,0.6403608958772009,0.45499666180013304,0.7311231585285701
34,small,0.7028692377389385,0.6879881260395007,0.4838785550693211,0.6036771844765981,0.7314961753775968,0.4578210432786591
35,shuffle,0.6684074421614382,0.6207301658675946,0.4294330442509741,0.5059453248106691,0.6074852682870027,0.39101676134536945
35,random,0.7572227778935323,0.7224901516669756,0.9018424466375363,0.8351343650737235,0.837766947941453,0.5466306378043336
